,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Temperature,Wind Speed
88,morondava,24,MG,1594613153,85,-20.28,44.28,67.62,10.96
89,butaritari,70,KI,1594613153,76,3.07,172.79,83.41,11.03
90,acarau,28,BR,1594613153,84,-2.89,-40.12,76.33,12.21
91,zhezkazgan,0,KZ,1594613153,42,47.8,67.71,80.6,8.95
92,bredasdorp,95,ZA,1594613154,81,-34.53,20.04,53.6,17.22
93,port macquarie,0,CD,1594613154,56,-7.03,29.76,70.41,3.89
94,san patricio,16,ML,1594613000,59,13.3,-4.9,83.43,12.5
95,severo-kurilsk,96,RU,1594613116,83,50.68,156.12,51.89,11.83
96,hilo,20,US,1594613155,61,19.73,-155.09,80.6,8.05
97,port hardy,0,CD,1594613039,56,-7.03,29.76,70.41,3.89
98,mar del plata,0,ES,1594613155,88,43.4,-4.01,66.0,5.82
99,jining,76,CN,1594613156,62,35.41,116.58,80.85,10.4
100,lamesa,75,US,1594613156,18,32.74,-101.95,89.6,13.87
101,kouroussa,69,GN,1594613156,96,10.65,-9.88,69.78,4.23
102,kalat,0,PK,1594613156,24,29.02,66.59,77.95,7.18
103,lavrentiya,6,RU,1594613157,75,65.58,-171.0,45.86,6.04
104,bambous virieux,75,MU,1594613157,78,-20.26,57.41,72.0,14.99
105,magnor,66,SE,1594613157,93,59.95,12.2,50.0,3.36
106,lompoc,0,US,1594613157,77,34.64,-120.46,60.8,11.41
107,neyyattinkara,75,IN,1594613158,74,8.4,77.08,84.2,5.82
108,hernani,20,ES,1594613158,82,43.27,-1.98,66.2,8.05
109,lebu,100,CL,1594613158,91,-37.62,-73.65,48.4,7.31
110,hirara,75,JP,1594613159,66,24.8,125.28,91.4,8.05
111,hithadhoo,19,MV,1594613159,73,-0.6,73.08,84.81,9.31
112,vestmannaeyjar,100,IS,1594613159,91,63.44,-20.27,50.72,8.57
113,barra do corda,94,BR,1594613159,61,-11.09,-43.14,75.33,8.84
114,qiongshan,40,CN,1594613160,59,20.01,110.35,91.4,6.71
115,kutum,32,SD,1594613160,62,14.2,24.67,73.15,8.93
116,provideniya,75,RU,1594612949,87,64.38,-173.3,46.4,13.42
117,sao francisco de assis,92,IN,1594613131,71,20.51,76.21,80.51,12.55
118,cape town,90,CL,1594613161,100,-36.41,-71.9,50.0,6.93
119,chapais,90,CA,1594613162,100,49.78,-74.85,59.0,6.93
120,durusu,75,TR,1594613162,88,41.31,28.68,73.0,29.97
121,nome,1,US,1594613163,67,64.5,-165.41,69.01,21.92
122,monrovia,75,LR,1594613040,82,6.3,-10.8,76.32,7.36
123,manaure,29,CO,1594613163,77,11.78,-72.44,80.76,9.75
124,metlaltoyuca,12,MX,1594613163,96,20.73,-97.85,73.27,2.68
125,darnah,0,LY,1594613164,80,32.77,22.64,73.99,17.85
126,meulaboh,100,ID,1594613164,63,4.14,96.13,84.72,4.99
127,darasun,40,RU,1594613164,82,51.67,114.0,68.0,4.47
128,ostersund,11,SE,1594612878,87,63.18,14.64,44.6,17.22
129,east london,75,IS,1594613165,87,65.0,-15.0,51.8,9.17
130,lisakovsk,0,KZ,1594613165,51,52.54,62.49,76.05,5.53
131,aquin,25,HT,1594613166,81,18.28,-73.4,79.16,3.11
132,chuy,50,UY,1594613166,75,-33.7,-53.46,41.94,9.17
133,qui nhon,20,BR,1594613166,83,-10.97,-37.6,75.2,3.36
134,qaqortoq,100,GL,1594613166,71,60.72,-46.03,51.8,4.7
135,kahului,40,US,1594613167,54,20.89,-156.47,84.2,23.04
136,ribeira grande,5,ES,1594613167,77,42.75,-8.44,64.99,3.36
137,tiksi,36,RU,1594613125,48,71.69,128.87,65.79,5.01
138,faya,40,SA,1594613168,32,18.39,42.45,69.8,5.82
139,narsaq,100,GL,1594613168,71,60.92,-46.05,51.8,4.7
140,arraial do cabo,0,BR,1594613168,72,-22.84,-46.65,64.4,5.82
141,grand river south east,1,US,1594613169,27,38.88,-109.5,86.0,4.7
142,vardo,75,NO,1594613169,76,70.37,31.11,48.2,4.7
143,nikki,100,BJ,1594613169,94,9.94,3.21,72.54,6.13
144,uruzgan,0,AF,1594613169,16,32.83,66.0,80.94,3.65
145,bengkulu,84,ID,1594613169,71,-3.8,102.27,82.92,3.89
146,frolovo,72,RU,1594613170,76,49.77,43.66,72.0,5.01
147,nantucket,1,US,1594613170,83,41.28,-70.1,70.0,12.75
148,tura,96,IN,1594613139,92,25.52,90.22,79.72,7.11
149,mogok,100,MM,1594613171,100,22.92,96.5,66.54,3.15
150,muroto,75,JP,1594613171,88,33.28,134.15,75.2,3.36
151,lapua,71,FI,1594613171,93,62.97,23.01,52.0,2.24
152,kruisfontein,0,ZA,1594613171,42,-34.0,24.73,51.33,6.11
153,paamiut,100,GL,1594613171,79,61.99,-49.67,45.48,11.18
154,melfi,20,IT,1594613172,68,41.0,15.65,68.0,12.75
155,georgetown,20,MY,1594613151,70,5.41,100.34,84.2,11.41
156,fortuna,90,US,1594613172,93,40.6,-124.16,61.0,12.75
157,new norfolk,84,LR,1594613078,90,6.65,-10.59,73.22,1.03
158,basco,21,PH,1594613172,78,20.45,121.97,84.9,14.23
159,surab,0,PK,1594613173,23,28.49,66.26,80.1,6.29
160,uthal,76,PK,1594613173,61,25.81,66.62,88.39,7.65
161,mys shmidta,18,RU,1594613173,62,62.06,48.62,60.53,3.58
162,manises,4,ES,1594613173,88,39.49,-0.46,72.0,4.7
163,bethel,1,US,1594613174,78,41.37,-73.41,75.0,3.36
164,mogadishu,67,SO,1594613171,84,2.04,45.34,77.94,17.49
165,san cristobal,16,ML,1594613000,59,13.3,-4.9,83.43,12.5
166,constitucion,100,CL,1594613174,85,-35.33,-72.42,52.34,5.03
167,baruun-urt,100,MN,1594613175,48,46.68,113.28,77.25,10.67
168,imeni poliny osipenko,96,NG,1594613175,98,7.32,5.96,70.41,4.5
169,rocha,48,UY,1594612887,65,-34.48,-54.33,42.58,10.16
170,sitka,90,US,1594613119,82,57.05,-135.33,55.4,3.36
171,poum,84,NC,1594613176,75,-20.23,164.02,74.48,9.35
172,alyangula,75,AU,1594613176,50,-13.85,136.42,75.2,12.75
173,bathsheba,40,BB,1594613133,78,13.22,-59.52,82.4,14.99
174,ancona,22,IT,1594613164,77,43.55,13.17,62.01,4.7
175,bhopal,75,IN,1594613177,83,23.27,77.4,80.6,13.87
176,tuatapere,41,NZ,1594613177,72,-46.13,167.68,47.19,3.71
177,brae,100,GB,1594613177,93,60.4,-1.35,53.6,9.17
178,pizarro,100,CO,1594613178,84,4.95,-77.37,78.37,5.17
179,port blair,0,CD,1594613137,56,-7.03,29.76,70.41,3.89
180,hovd,100,MN,1594613144,40,48.01,91.64,68.81,1.07
181,ahuimanu,90,US,1594613178,58,21.44,-157.84,84.2,11.41
182,leningradskiy,65,RU,1594613178,70,69.38,178.42,42.73,9.86
183,manta,100,EC,1594613179,88,-0.95,-80.73,71.92,13.04
184,soyo,92,AO,1594613179,80,-6.13,12.37,72.16,6.2
185,margate,65,GB,1594613112,52,51.38,1.39,61.0,3.71
186,norman wells,1,US,1594613179,74,35.22,-97.44,84.2,11.41
187,ginir,61,ET,1594613180,88,7.13,40.7,57.83,9.13
188,portland,10,US,1594613095,63,45.52,-122.68,68.0,1.01
189,kieta,100,PG,1594613180,74,-6.22,155.63,82.38,6.02
190,calella,94,ES,1594613180,74,41.62,2.67,75.0,5.01
191,iqaluit,75,CA,1594613136,81,63.75,-68.51,51.8,10.29
192,victoria,9,HK,1594612970,59,22.29,114.16,91.99,11.01
